sku,file,url
B2741S01003,B2741S01003+06.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B2741S01003/B2741S01003%2B06.jpg
B2741S01003,B2741S01003+07.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B2741S01003/B2741S01003%2B07.jpg
B2741S01003,B2741S01003+08.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B2741S01003/B2741S01003%2B08.jpg
B2741S01003,B2741S01003+09.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B2741S01003/B2741S01003%2B09.jpg
B2741S01004,B2741S01004+01.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B2741S01004/B2741S01004%2B01.jpg
B2741S01004,B2741S01004+02.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B2741S01004/B2741S01004%2B02.jpg
B2741S01004,B2741S01004+03.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B2741S01004/B2741S01004%2B03.jpg
B2741S01004,B2741S01004+04.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B2741S01004/B2741S01004%2B04.jpg
B2741S01004,B2741S01004+05.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B2741S01004/B2741S01004%2B05.jpg
B2741S01004,B2741S01004+06.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B2741S01004/B2741S01004%2B06.jpg
